media,scene,records,translation_records,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,string_delta_bytes,string_increase_bytes,scene_pad_budget,scene_total_growth,final_headroom,overflow_bytes,row_ids,confidence
demo_scene,25,2,2,6,가고구냐누답대드려를말못아암어엎오은좋지해했호,가고대드려를말못아암어은좋지해호,16,구냐누답엎오했,7,448,0,0,22,-22,0,1718,448,1270,0,demo:25:114043204|demo:25:114043408|demo:25:114043636|demo:25:114043848|demo:25:114044060|demo:25:115650468,confirmed_scene_markers_padding_and_builder_logic
demo_scene,26,14,6,15,가걱건것게경고구국군권그기네눕는니도동듣들래런렸로마말명무미반버상서선수슨쓸아야얘어었여옆용으은을이인일잡적정제조좋줄중지차총평하해혀힘,가건것게고군그기네는니도듣들래런로마말명무미버상서수슨아야어었여으은을이인일잡적정제조좋줄지하해,48,걱경구국권눕동렸반선쓸얘옆용중차총평혀힘,20,1280,0,0,72,-64,13,1813,1344,469,0,demo:26:119730576|demo:26:119731924|demo:26:119732096|demo:26:120765532|demo:26:120765748|demo:26:120766180|demo:26:120766936|demo:26:120767052|demo:26:121556256|demo:26:121556576|demo:26:121556780|demo:26:121557080|demo:26:127796064|demo:26:130226784|demo:26:132671564,confirmed_scene_markers_padding_and_builder_logic
demo_scene,28,5,2,6,가감건고그급기남는니든들라람로를만무물밖발사수쏘아안알야어에으은이장젠지탄해,가건고그기는니들라람로를만무물밖사수아안알야어에으은이지해,29,감급남든발쏘장젠탄,9,576,0,0,48,-48,0,1190,576,614,0,demo:28:138412880|demo:28:138413084|demo:28:141255116|demo:28:141255388|demo:28:141255676|demo:28:141255832,confirmed_scene_markers_padding_and_builder_logic
demo_scene,29,2,0,0,,,0,,0,0,0,0,0,0,0,1942,0,1942,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,30,1,0,0,,,0,,0,0,0,0,0,0,0,262,0,262,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,31,1,0,0,,,0,,0,0,0,0,0,0,0,646,0,646,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,32,1,0,0,,,0,,0,0,0,0,0,0,0,502,0,502,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,35,5,0,0,,,0,,0,0,0,0,0,0,0,1989,0,1989,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,36,10,4,13,가갔걷걸게그끝내놈는다도두든듯디람로른리만말맞명뭐발봐사야어없에엔요윗은이지쪽필하해혁,가게그내는다도디람로리만말명뭐봐사야어없에엔요은이지필하해,29,갔걷걸끝놈두든듯른맞발윗쪽혁,14,896,0,0,155,-155,3,117,896,0,779,demo:36:189412316|demo:36:190448824|demo:36:191389316|demo:36:191389544|demo:36:191389724|demo:36:191390156|demo:36:191390400|demo:36:191390736|demo:36:191391140|demo:36:191391312|demo:36:192331432|demo:36:192331864|demo:36:192332172,confirmed_scene_markers_padding_and_builder_logic
demo_scene,37,3,1,3,각갈겠공그나난니더드라락로미불새생아야에요은의즈지쳤,겠그나난니더드라로미아야에요은의지,17,각갈공락불새생즈쳤,9,576,0,0,27,-27,0,1318,576,742,0,demo:37:192924372|demo:37:192924488|demo:37:192924828,confirmed_scene_markers_padding_and_builder_logic
demo_scene,38,2,0,0,,,0,,0,0,0,0,0,0,0,1766,0,1766,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,39,2,0,0,,,0,,0,0,0,0,0,0,0,1206,0,1206,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,40,2,0,0,,,0,,0,0,0,0,0,0,0,86,0,86,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,41,1,0,0,,,0,,0,0,0,0,0,0,0,534,0,534,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,42,1,0,0,,,0,,0,0,0,0,0,0,0,1094,0,1094,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,43,2,0,0,,,0,,0,0,0,0,0,0,0,262,0,262,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,44,6,4,10,가거경고괜난다대더두때려력령로르말면모못문병비서세싶아안않알야어에역요으을이있잠잤정줘지질찮필하할해,가거고난다대더때려령로르말면못문서세싶아안않알야어에요으을이있정지필하할해,37,경괜두력모병비역잠잤줘질찮,13,832,0,0,204,-204,0,1062,896,166,0,demo:44:213232468|demo:44:213232816|demo:44:215996064|demo:44:215996388|demo:44:216903180|demo:44:216903576|demo:44:217646532|demo:44:217646868|demo:44:217647096|demo:44:217647416,confirmed_scene_markers_padding_and_builder_logic
demo_scene,45,6,4,10,가거경고괜난다대더두때려력령로르말면모못문병비서세싶아안않알야어에역요으을이있잠잤정줘지질찮필하할해,가거고난다대더때려령로르말면못문서세싶아안않알야어에요으을이있정지필하할해,37,경괜두력모병비역잠잤줘질찮,13,832,0,0,204,-204,0,1494,896,598,0,demo:45:220070656|demo:45:220070956|demo:45:222834424|demo:45:222834708|demo:45:223742012|demo:45:223742248|demo:45:224559068|demo:45:224559328|demo:45:224559608|demo:45:224560036,confirmed_scene_markers_padding_and_builder_logic
demo_scene,46,1,0,0,,,0,,0,0,0,0,0,0,0,1206,0,1206,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,47,4,1,3,그봐사이인진척해,그봐사이인해,6,진척,2,128,0,0,43,-43,0,1286,128,1158,0,demo:47:228516636|demo:47:228516848|demo:47:228517104,confirmed_scene_markers_padding_and_builder_logic
demo_scene,48,1,1,1,다알았,다알았,3,,0,0,0,0,5,-5,0,1798,0,1798,0,demo:48:229169604,confirmed_scene_markers_padding_and_builder_logic
demo_scene,49,8,2,2,구군그누는럼잘지하,군그는잘지하,6,구누럼,3,192,0,0,1,2,3,5,192,0,187,demo:49:237326980|demo:49:239394732,confirmed_scene_markers_padding_and_builder_logic
demo_scene,50,2,0,0,,,0,,0,0,0,0,0,0,0,1302,0,1302,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,51,2,0,0,,,0,,0,0,0,0,0,0,0,454,0,454,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,52,2,0,0,,,0,,0,0,0,0,0,0,0,1542,0,1542,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,53,2,0,0,,,0,,0,0,0,0,0,0,0,1574,0,1574,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,54,2,0,0,,,0,,0,0,0,0,0,0,0,2022,0,2022,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,56,1,0,0,,,0,,0,0,0,0,0,0,0,822,0,822,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,57,1,0,0,,,0,,0,0,0,0,0,0,0,838,0,838,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,58,1,0,0,,,0,,0,0,0,0,0,0,0,406,0,406,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,59,1,0,0,,,0,,0,0,0,0,0,0,0,582,0,582,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,60,3,2,3,가고나너늦드마무샤설었정해호확,가고나드마무설었정해호,11,너늦샤확,4,256,0,0,13,-10,3,1942,256,1686,0,demo:60:274338304|demo:60:276413872|demo:60:276414148,confirmed_scene_markers_padding_and_builder_logic
demo_scene,61,6,1,2,게떻못싣아어에은잖지했,게떻못아어에은지,8,싣잖했,3,192,0,0,39,-39,0,86,192,0,106,demo:61:277863332|demo:61:277863584,confirmed_scene_markers_padding_and_builder_logic
demo_scene,62,5,0,0,,,0,,0,0,0,0,0,0,0,646,0,646,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,63,9,5,9,각건겠괴기난는데돼득뜻령를면무문산생설소슨시아알야양어에와음이있전제직체파하회,건겠기난는데뜻령를면무문설소슨시아알야어에와음이있제하,27,각괴돼득산생양전직체파회,12,768,0,0,88,-88,0,1478,768,710,0,demo:63:282261892|demo:63:282262340|demo:63:282262568|demo:63:282262936|demo:63:282263288|demo:63:282841680|demo:63:283583048|demo:63:284356800|demo:63:286404224,confirmed_scene_markers_padding_and_builder_logic
demo_scene,64,3,0,0,,,0,,0,0,0,0,0,0,0,677,0,677,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,65,1,0,0,,,0,,0,0,0,0,0,0,0,1462,0,1462,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,66,11,0,0,,,0,,0,0,0,0,0,0,0,757,0,757,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,67,5,0,0,,,0,,0,0,0,0,0,0,0,1270,0,1270,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,68,4,0,0,,,0,,0,0,0,0,0,0,0,1910,0,1910,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,69,1,0,0,,,0,,0,0,0,0,0,0,0,1094,0,1094,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,70,2,0,0,,,0,,0,0,0,0,0,0,0,838,0,838,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,71,2,0,0,,,0,,0,0,0,0,0,0,0,790,0,790,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,72,1,0,0,,,0,,0,0,0,0,0,0,0,1430,0,1430,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,73,1,0,0,,,0,,0,0,0,0,0,0,0,1686,0,1686,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,74,3,2,6,가감게기깐딱떻뭔아알았어여와의인있자잠주줄해,가게기떻아알았어여와의인있자줄해,16,감깐딱뭔잠주,6,384,0,0,84,-84,0,1654,384,1270,0,demo:74:381612500|demo:74:381612680|demo:74:381612892|demo:74:381613080|demo:74:385694764|demo:74:385695052,confirmed_scene_markers_padding_and_builder_logic
demo_scene,75,2,2,5,날들럼려만말면방봐서수약어와을이있점처토폭하해,날들려만말면방봐서수어와을이있점하해,18,럼약처토폭,5,320,0,0,107,-107,0,694,320,374,0,demo:75:386798880|demo:75:386799252|demo:75:386799588|demo:75:386799784|demo:75:387676288,confirmed_scene_markers_padding_and_builder_logic
demo_scene,76,4,3,3,거것겠경군그는도돼되럼렇를면배병비아않야어요이있좋직진치크탱파폭하,거것겠군그는도되렇를면아않야어요이있좋크하,21,경돼럼배병비직진치탱파폭,12,768,0,0,16,-15,1,710,768,0,58,demo:76:388569436|demo:76:389314756|demo:76:389764956,confirmed_scene_markers_padding_and_builder_logic
demo_scene,77,2,2,5,가거그기끝남널는도돕래로모서쓸억없엔지쪽해,가거그기는도래로서없엔지해,13,끝남널돕모쓸억쪽,8,512,0,0,125,-125,0,1462,512,950,0,demo:77:389999648|demo:77:390000000|demo:77:390000348|demo:77:390000512|demo:77:390804100,confirmed_scene_markers_padding_and_builder_logic
demo_scene,78,1,0,0,,,0,,0,0,0,0,0,0,0,102,0,102,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,79,6,1,2,그는다래로론를리메물어요이칼트하,그는다래로를리물어요이하,12,론메칼트,4,256,0,0,24,-24,0,2006,256,1750,0,demo:79:391880732|demo:79:391881060,confirmed_scene_markers_padding_and_builder_logic
demo_scene,81,1,0,0,,,0,,0,0,0,0,0,0,0,438,0,438,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,82,4,0,0,,,0,,0,0,0,0,0,0,0,1942,0,1942,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,83,4,0,0,,,0,,0,0,0,0,0,0,0,1013,0,1013,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,84,3,0,0,,,0,,0,0,0,0,0,0,0,790,0,790,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,85,1,0,0,,,0,,0,0,0,0,0,0,0,278,0,278,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,86,4,1,1,놈,,0,놈,1,64,0,0,1,-1,0,1094,64,1030,0,demo:86:445290960,confirmed_scene_markers_padding_and_builder_logic
demo_scene,87,2,1,2,가건기나너다됐리비앙야어에을있준중지편해,가건기나다됐리야어에을있지편해,15,너비앙준중,5,320,0,0,46,-46,0,1782,320,1462,0,demo:87:448777220|demo:87:448777588,confirmed_scene_markers_padding_and_builder_logic
demo_scene,89,1,0,0,,,0,,0,0,0,0,0,0,0,1254,0,1254,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,90,1,0,0,,,0,,0,0,0,0,0,0,0,1558,0,1558,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,91,1,0,0,,,0,,0,0,0,0,0,0,0,166,0,166,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,93,2,2,5,가건게겨그나내널단래맡믿싸어움은이있자조하,가건게그나내래믿어은이있자조하,15,겨널단맡싸움,6,384,0,0,23,-23,0,486,384,102,0,demo:93:478066232|demo:93:478066356|demo:93:478066552|demo:93:478067252|demo:93:483963988,confirmed_scene_markers_padding_and_builder_logic
demo_scene,94,1,1,2,냐뭐,뭐,1,냐,1,64,0,0,2,-2,0,614,64,550,0,demo:94:485074704|demo:94:485074964,confirmed_scene_markers_padding_and_builder_logic
demo_scene,95,1,0,0,,,0,,0,0,0,0,0,0,0,614,0,614,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,96,4,4,15,가괜군기길나난네다당뜻려몰못무믿서선수슨아야어없여요을응이자장제젠줘찮필해했혼,가군기나난네다뜻려못무믿서수슨아야어없여요을응이자제필해,28,괜길당몰선장젠줘찮했혼,11,704,0,0,75,-75,3,709,704,5,0,demo:96:499360000|demo:96:499360208|demo:96:499360352|demo:96:504183928|demo:96:504184356|demo:96:504184512|demo:96:504185036|demo:96:504185256|demo:96:505670272|demo:96:505670404|demo:96:505670900|demo:96:505671496|demo:96:505671660|demo:96:506710408|demo:96:506710648,confirmed_scene_markers_padding_and_builder_logic
demo_scene,97,1,0,0,,,0,,0,0,0,0,0,0,0,1814,0,1814,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,101,8,0,0,,,0,,0,0,0,0,0,0,0,1269,0,1269,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,102,5,0,0,,,0,,0,0,0,0,0,0,0,1030,0,1030,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,103,1,0,0,,,0,,0,0,0,0,0,0,0,742,0,742,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,104,2,0,0,,,0,,0,0,0,0,0,0,0,758,0,758,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,105,3,1,2,,,0,,0,0,0,0,0,0,0,293,0,293,0,demo:105:533693500|demo:105:533693624,confirmed_scene_markers_padding_and_builder_logic
demo_scene,108,1,0,0,,,0,,0,0,0,0,0,0,0,326,0,326,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,109,1,0,0,,,0,,0,0,0,0,0,0,0,934,0,934,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,110,1,0,0,,,0,,0,0,0,0,0,0,0,326,0,326,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,111,1,0,0,,,0,,0,0,0,0,0,0,0,1382,0,1382,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,112,1,0,0,,,0,,0,0,0,0,0,0,0,790,0,790,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,113,3,2,6,거격고는다당데돌돼따락려목못무뭐안온왔의장정추표해,거고는다데돌려못무뭐안왔의정해,15,격당돼따락목온장추표,10,640,0,0,84,-84,0,198,640,0,442,demo:113:584224788|demo:113:584225136|demo:113:584225356|demo:113:584225580|demo:113:588492648|demo:113:588493024,confirmed_scene_markers_padding_and_builder_logic
demo_scene,115,2,2,6,거것구그누니도들로말면아안야어이제젠쩔,거것그니도들로말면아안야어이제,15,구누젠쩔,4,256,0,0,83,-83,0,278,256,22,0,demo:115:595652052|demo:115:596950340|demo:115:596950624|demo:115:596950820|demo:115:596951144|demo:115:596951344,confirmed_scene_markers_padding_and_builder_logic
demo_scene,116,2,0,0,,,0,,0,0,0,0,0,0,0,1398,0,1398,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,117,3,0,0,,,0,,0,0,0,0,0,0,0,1222,0,1222,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,118,1,0,0,,,0,,0,0,0,0,0,0,0,966,0,966,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,119,2,0,0,,,0,,0,0,0,0,0,0,0,1206,0,1206,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,120,7,0,0,,,0,,0,0,0,0,0,0,0,1654,0,1654,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,127,10,2,4,고과구기나는됐름목비시압야양에역자재정준중지체표현,고기나는됐시야에자정지,11,과구름목비압양역재준중체표현,14,896,0,0,27,-27,0,1974,896,1078,0,demo:127:638620436|demo:127:638620608|demo:127:641609656|demo:127:641609924,confirmed_scene_markers_padding_and_builder_logic
demo_scene,128,12,0,0,,,0,,0,0,0,0,0,0,0,1205,0,1205,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,129,24,3,6,겠괜군기끝나너도딱라먹면사생선술쓰아어은이좋줘찮회,겠군기나도라면사아어은이좋,13,괜끝너딱먹생선술쓰줘찮회,12,768,0,0,70,-70,0,1030,768,262,0,demo:129:729433704|demo:129:729433996|demo:129:733374092|demo:129:733374252|demo:129:733374568|demo:129:736978132,confirmed_scene_markers_padding_and_builder_logic
