media,gcx,pinned_record,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,existing_local_slots,existing_dead_slots,newly_freed_slots,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,appended_glyph_count,appended_glyph_bytes,string_delta_bytes,string_increase_bytes,string_region_bytes,final_headroom,overflow_bytes,row_ids,confidence,layout_policy
codec,0,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,20,no,1,게내땐를말써할,게내를말할,5,땐써,2,128,0,0,0,0,0,26,2,128,-26,0,2892,0,102,codec:20:16,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,21,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2124,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,22,no,2,그기래를맞무뷰생서선아어에존택해,그기래를무서아어에해,10,맞뷰생선존택,6,384,0,0,0,0,0,22,6,384,-22,0,3884,0,362,codec:22:15|codec:22:22,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,23,no,1,기니다본생은의이입존,기니다본은의이입,8,생존,2,128,0,0,0,0,0,9,2,128,-9,0,3632,0,119,codec:23:14,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,24,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2136,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,25,no,8,구내넌는도든모미보서야에여의,내는도미보서야에여의,10,구넌든모,4,256,0,0,0,0,0,596,4,256,-596,0,5384,340,0,codec:25:45|codec:25:47|codec:25:48|codec:25:49|codec:25:50|codec:25:51|codec:25:16|codec:25:25,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,26,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,27,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,3296,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,28,no,75,가개게그까나녀니다당도동름면몸무문물미부생서세소수술신아알없엇에여은을의이일입장전주줄지체출키해,가개게그까나녀니다도면무문물미부서세소수아알없에여은을의이일입줄지키해,35,당동름몸생술신엇장전주체출,13,832,0,0,0,0,0,3090,13,832,-3090,5,6924,2258,0,codec:28:24|codec:28:25|codec:28:26|codec:28:27|codec:28:28|codec:28:29|codec:28:30|codec:28:36|codec:28:37|codec:28:38|codec:28:39|codec:28:40|codec:28:41|codec:28:42|codec:28:46|codec:28:47|codec:28:48|codec:28:50|codec:28:51|codec:28:52|codec:28:53|codec:28:54|codec:28:55|codec:28:56|codec:28:57|codec:28:58|codec:28:59|codec:28:60|codec:28:61|codec:28:62|codec:28:63|codec:28:64|codec:28:65|codec:28:66|codec:28:67|codec:28:68|codec:28:69|codec:28:70|codec:28:71|codec:28:73|codec:28:74|codec:28:75|codec:28:76|codec:28:77|codec:28:78|codec:28:79|codec:28:80|codec:28:81|codec:28:82|codec:28:83|codec:28:84|codec:28:85|codec:28:86|codec:28:87|codec:28:89|codec:28:90|codec:28:91|codec:28:92|codec:28:93|codec:28:94|codec:28:95|codec:28:96|codec:28:97|codec:28:98|codec:28:99|codec:28:100|codec:28:101|codec:28:72|codec:28:45|codec:28:88|codec:28:31|codec:28:23|codec:28:14|codec:28:22|codec:28:17,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,29,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1608,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,30,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1508,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,31,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,4216,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,32,no,241,가각간감강갖같거걱건것게겠격계고과관교구군그극근글금급기께나날남났내너네녀년누는늘니닙다당대데도동될드든들따라람럴럼령로록론료르른를리마만많말맞머멘며명몇모물미믿받방배뱀번범법변부북분불비뿐사살상생서선설션소수술스습승시식신실싸아악알애야얘어억없었에여였오와왔요우울움워원유육으은을의이인일임입있자잖잘잠장잭적전절접정존죄주죽준중지차찬찾처첫체쳐쳤초총최출치친칠침코택토투편평하한할함합항해했확획히,가간같거건것게겠계고군그근금기께나날내네녀는니다대데도될드들라람럴령로록르를리마만말머명물미믿방번법부분사상서설션소수스습시아알야어없었에여와왔요우원유으은을의이인일임입있자잘적절정죽지코편하한할함해획히,102,각감강갖걱격과관교구극글급남났너년누늘닙당동든따럼론료른많맞멘며몇모받배뱀범변북불비뿐살생선술승식신실싸악애얘억였오울움워육잖잠장잭전접존죄주준중차찬찾처첫체쳐쳤초총최출치친칠침택토투평합항했확,97,6208,0,0,0,0,0,12139,97,6208,-12139,12,17972,5931,0,codec:32:56|codec:32:60|codec:32:65|codec:32:69|codec:32:70|codec:32:71|codec:32:72|codec:32:73|codec:32:74|codec:32:75|codec:32:79|codec:32:80|codec:32:81|codec:32:85|codec:32:86|codec:32:87|codec:32:90|codec:32:92|codec:32:93|codec:32:94|codec:32:102|codec:32:105|codec:32:106|codec:32:107|codec:32:108|codec:32:109|codec:32:110|codec:32:111|codec:32:112|codec:32:113|codec:32:118|codec:32:119|codec:32:122|codec:32:123|codec:32:125|codec:32:126|codec:32:127|codec:32:128|codec:32:129|codec:32:130|codec:32:131|codec:32:132|codec:32:133|codec:32:134|codec:32:135|codec:32:136|codec:32:137|codec:32:138|codec:32:139|codec:32:140|codec:32:141|codec:32:142|codec:32:143|codec:32:144|codec:32:145|codec:32:146|codec:32:147|codec:32:148|codec:32:149|codec:32:150|codec:32:151|codec:32:152|codec:32:153|codec:32:154|codec:32:155|codec:32:156|codec:32:157|codec:32:158|codec:32:159|codec:32:160|codec:32:161|codec:32:162|codec:32:163|codec:32:164|codec:32:165|codec:32:166|codec:32:167|codec:32:168|codec:32:169|codec:32:170|codec:32:171|codec:32:172|codec:32:173|codec:32:174|codec:32:175|codec:32:176|codec:32:177|codec:32:178|codec:32:179|codec:32:180|codec:32:181|codec:32:182|codec:32:183|codec:32:184|codec:32:185|codec:32:186|codec:32:187|codec:32:188|codec:32:189|codec:32:190|codec:32:191|codec:32:192|codec:32:193|codec:32:194|codec:32:195|codec:32:196|codec:32:197|codec:32:198|codec:32:199|codec:32:200|codec:32:201|codec:32:202|codec:32:203|codec:32:204|codec:32:205|codec:32:206|codec:32:207|codec:32:208|codec:32:209|codec:32:210|codec:32:211|codec:32:212|codec:32:213|codec:32:214|codec:32:215|codec:32:216|codec:32:217|codec:32:218|codec:32:219|codec:32:220|codec:32:221|codec:32:222|codec:32:223|codec:32:224|codec:32:225|codec:32:226|codec:32:227|codec:32:228|codec:32:229|codec:32:230|codec:32:231|codec:32:232|codec:32:233|codec:32:234|codec:32:235|codec:32:236|codec:32:237|codec:32:238|codec:32:239|codec:32:240|codec:32:241|codec:32:242|codec:32:243|codec:32:244|codec:32:245|codec:32:246|codec:32:247|codec:32:248|codec:32:249|codec:32:250|codec:32:251|codec:32:252|codec:32:253|codec:32:254|codec:32:255|codec:32:256|codec:32:257|codec:32:258|codec:32:259|codec:32:260|codec:32:261|codec:32:262|codec:32:263|codec:32:264|codec:32:265|codec:32:266|codec:32:267|codec:32:268|codec:32:269|codec:32:270|codec:32:271|codec:32:272|codec:32:274|codec:32:275|codec:32:276|codec:32:277|codec:32:278|codec:32:279|codec:32:280|codec:32:281|codec:32:282|codec:32:283|codec:32:284|codec:32:285|codec:32:286|codec:32:84|codec:32:117|codec:32:114|codec:32:21|codec:32:58|codec:32:61|codec:32:47|codec:32:22|codec:32:101|codec:32:54|codec:32:82|codec:32:97|codec:32:59|codec:32:98|codec:32:121|codec:32:52|codec:32:63|codec:32:46|codec:32:50|codec:32:43|codec:32:67|codec:32:99|codec:32:116|codec:32:51|codec:32:42|codec:32:57|codec:32:100|codec:32:273|codec:32:77|codec:32:14|codec:32:53|codec:32:124|codec:32:95|codec:32:23|codec:32:96|codec:32:88|codec:32:78|codec:32:20|codec:32:115|codec:32:89|codec:32:103|codec:32:83|codec:32:44|codec:32:76|codec:32:55|codec:32:64,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,33,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2580,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,34,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,3848,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,35,no,2,꿔바서에위을의장,바서에위을의,6,꿔장,2,128,0,0,0,0,0,115,2,128,-115,0,1300,0,13,codec:35:6|codec:35:3,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,36,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1072,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,37,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1388,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,38,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2444,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,39,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,3276,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,40,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1996,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,41,no,1,다,다,1,,0,0,0,0,0,0,0,4,0,0,-4,0,2680,4,0,codec:41:24,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,42,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2244,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,43,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,44,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2048,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,45,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2096,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,46,no,1,군그렇,군그렇,3,,0,0,0,0,0,0,0,0,0,0,0,0,2536,0,0,codec:46:19,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,47,no,1,괜들려아잘찮,들려아잘,4,괜찮,2,128,0,0,0,0,0,14,2,128,-14,0,4048,0,114,codec:47:15,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,48,no,2,료를버보상아야자좋처치텨해,를버보상아야자좋해,9,료처치텨,4,256,0,0,0,0,0,45,4,256,-45,0,4900,0,211,codec:48:29|codec:48:28,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,49,no,4,고니다로료를먼면버선수술시야엽으있작저적쳐치택통튼하할합해,고니다로를면버수시야으있저적하할해,17,료먼선술엽작쳐치택통튼합,12,768,0,0,0,0,0,52,12,768,-52,0,4624,0,716,codec:49:10|codec:49:11|codec:49:16|codec:49:14,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,50,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1716,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,51,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,4496,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,52,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,6380,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,53,yes,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,8172,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,54,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,34052,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,55,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,6388,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,56,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,3744,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,57,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1996,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,58,no,2,고군그렇리,고군그렇리,5,,0,0,0,0,0,0,0,0,0,0,2,3,3696,0,2,codec:58:49|codec:58:48,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,59,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,4048,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,60,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,8404,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,61,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,62,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2220,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,63,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2504,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,64,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2292,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,65,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,66,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2248,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,67,no,2,니아야직,니아야,3,직,1,64,0,0,0,0,0,1,1,64,-1,4,3060,0,63,codec:67:26|codec:67:17,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,68,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2860,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,69,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2268,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,70,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2240,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,71,no,1,도맡작조지,도조지,3,맡작,2,128,0,0,0,0,0,7,2,128,-7,0,2828,0,121,codec:71:17,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,72,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2208,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,73,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2072,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,74,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2848,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,75,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2092,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,76,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2464,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,77,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2312,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,78,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2512,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,79,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2184,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,80,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2172,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,81,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2692,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,82,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2540,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,83,no,4,가디어저하,가디어저하,5,,0,0,0,0,0,0,0,14,0,0,-14,4,2748,14,0,codec:83:23|codec:83:22|codec:83:17|codec:83:16,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,84,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2364,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,85,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2364,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,86,no,1,,,0,,0,0,0,0,0,0,0,86,0,0,-86,0,2488,86,0,codec:86:22,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,87,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,88,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,89,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,3020,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,90,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2348,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,91,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2084,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,92,no,1,는늪닥바없,는바없,3,늪닥,2,128,0,0,0,0,0,7,2,128,-7,0,2560,0,121,codec:92:16,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,93,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2544,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,94,no,1,,,0,,0,0,0,0,0,0,0,76,0,0,-76,0,2352,76,0,codec:94:26,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,95,no,1,악어,어,1,악,1,64,0,0,0,0,0,6,1,64,-6,0,4072,0,58,codec:95:24,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,96,no,1,기여왜이있지,기여왜이있지,6,,0,0,0,0,0,0,0,7,0,0,-7,0,1128,7,0,codec:96:1,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,97,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1648,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,98,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1828,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,99,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1612,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,100,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2544,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,101,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2324,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,102,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2272,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,103,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2160,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,104,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,105,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2244,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,106,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,107,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2344,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,108,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2104,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,109,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2772,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,110,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2692,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,111,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2680,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,112,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2800,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,113,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,114,no,1,가그뀌러로면바어,가그러로면바어,7,뀌,1,64,0,0,0,0,0,25,1,64,-25,0,3104,0,39,codec:114:15,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,115,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2432,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,116,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2604,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,117,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2888,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,118,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2388,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,119,no,31,니보수아어여요있직할,니보수아어여요있할,9,직,1,64,0,0,0,0,0,934,1,64,-934,9,5524,870,0,codec:119:45|codec:119:46|codec:119:47|codec:119:48|codec:119:49|codec:119:50|codec:119:51|codec:119:52|codec:119:53|codec:119:54|codec:119:55|codec:119:56|codec:119:57|codec:119:58|codec:119:59|codec:119:60|codec:119:61|codec:119:62|codec:119:63|codec:119:64|codec:119:65|codec:119:66|codec:119:67|codec:119:68|codec:119:69|codec:119:70|codec:119:71|codec:119:72|codec:119:74|codec:119:29|codec:119:30,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,120,no,1,그럼,그,1,럼,1,64,0,0,0,0,0,0,1,64,0,0,3784,0,64,codec:120:27,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
